time_s,motor_command,active_power_w,current_ma,tacho_rpm,imu_x_g,imu_y_g,imu_z_g,weightonbit,drillz1position_m,ROP_ms,s_active_power_w,s_current_ma,s_tacho_rpm,s_imu_x_g,s_imu_y_g,s_imu_z_g,s_weightonbit,s_ROP_ms,air,mud,concrete,wet_mud,y_air,y_mud,y_concrete,y_wet_mud
370,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,-34.454,-.00191,1124.9968,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.85342318,-.78496706,1,0,0,0,.9962120716854925,.002765777196934,.0005171640520254,1.93170044895e-06
371,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,-4.19,-.00194,1499.9998,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.87612176,-.55115682,1,0,0,0,.9978517644827121,.0015535931823687,.0004928279354045,1.49752643841e-06
372,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,-4.19,-.0020475001,5375.0063,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.87612176,1.8648676,1,0,0,0,.9978807347031697,.0015812211516503,.0005414370215528,1.51137864704e-06
373,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,10.27,-.00211,3124.9949,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.88696706,.46200991,1,0,0,0,.9981978134606515,.0013211365399491,.0004919804927569,1.37795344289e-06
374,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,10.27,-.00211,0,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.88696706,-1.4863902,1,0,0,0,.9976539729768769,.0017254286274329,.0005123317259065,1.55730491233e-06
375,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,10.27,-.0021575,2375.0007,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.88696706,-.0056032469,1,0,0,0,.998150905471676,.001349522938198,.0004900780553577,1.39483532031e-06
376,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,10.27,-.0022275001,3500.0034,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.88696706,.69582367,1,0,0,0,.9982140640332325,.0013126310051197,.0004932706015471,1.37193227424e-06
377,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,10.27,-.0022750001,2375.0007,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.88696706,-.0056032469,1,0,0,0,.998150905471676,.001349522938198,.0004900780553577,1.39483532031e-06
378,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,47.946,-.002295,999.99597,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.91522485,-.86290371,1,0,0,0,.9982518703538064,.0012900792521304,.0004903884924662,1.35357980905e-06
379,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,47.946,-.0023874999,4624.9946,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.91522485,1.3972434,1,0,0,0,.9983710697414747,.0012169768850347,.0004903712256854,1.30616660616e-06
380,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,47.946,-.0024049999,875.00085,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.91522485,-.94083679,1,0,0,0,.9982416814556097,.00129744758124,.0004910197317328,1.35748403874e-06
381,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,41.683,-.0024625,2875.0044,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.91052747,.30614358,1,0,0,0,.9983250219840268,.0012411814724912,.0004885273480115,1.32513855271e-06
382,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,41.683,-.0024850001,1125.0027,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.91052747,-.78496337,1,0,0,0,.9982364615592186,.0012990664146954,.0004898152481836,1.35962760763e-06
383,1000,600.45587,564.30511,0,.2361,.26730001,.93910003,41.683,-.0025775,4624.9946,-.14068002,-.17390324,-1.0933483,.9205054,.083332404,.2685563,.91052747,1.3972434,1,0,0,0,.9983622872724763,.0012223750534334,.0004905095393016,1.31005201325e-06
384,1000,600.45587,564.30511,0,.2335,.264,.94029999,-30.075,-.0026400001,3125.0063,-.14068002,-.17390324,-1.0933483,.91379774,.065257326,.27305213,.85670751,.46201706,1,0,0,0,.997082382630067,.0020691100388827,.0005469050057253,1.77352894320e-06
385,1000,600.45587,564.30511,0,.2335,.264,.94029999,-30.075,-.0026400001,0,-.14068002,-.17390324,-1.0933483,.91379774,.065257326,.27305213,.85670751,-1.4863902,1,0,0,0,.9958817771896966,.0030604995322188,.0005111474097932,1.98063905235e-06
386,1000,565.45294,526.73004,0,.2335,.264,.94029999,-30.075,-.0027574999,5874.9917,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.85670751,2.1766028,1,0,0,0,.9982461008425988,.0013290754562685,.0005192443984122,1.36007819511e-06
387,1000,565.45294,526.73004,0,.2335,.264,.94029999,-28.353,-.0027950001,1875.0084,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.85799903,-.317343,1,0,0,0,.9983295754739581,.0012583844686539,.0005048455857557,1.32243348092e-06
388,1000,565.45294,526.73004,0,.2335,.264,.94029999,-28.353,-.0028125001,875.00085,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.85799903,-.94083679,1,0,0,0,.9983003396318538,.0012806312595406,.0005083719394548,1.33438470120e-06
389,1000,565.45294,526.73004,0,.2335,.264,.94029999,-10.892,-.0029899999,8874.9912,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.87109512,4.04707,1,0,0,0,.9973605807325437,.002068457739582,.0006100756724068,1.74109042713e-06
390,1000,565.45294,526.73004,0,.2335,.264,.94029999,-10.892,-.0030149999,1249.9979,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.87109512,-.70703024,1,0,0,0,.9983492022422774,.0012429671190205,.000501784767302,1.31400566361e-06
391,1000,565.45294,526.73004,0,.2335,.264,.94029999,52.339,-.0031524999,6875,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.91851968,2.8000972,1,0,0,0,.9984068561256388,.0011995947418608,.0004931817017894,1.29042224329e-06
392,1000,565.45294,526.73004,0,.2335,.264,.94029999,52.339,-.0032025001,2500.0073,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.91851968,.072337002,1,0,0,0,.9984008321311756,.0012037053629408,.0004947238918607,1.29206164440e-06
393,1000,565.45294,526.73004,0,.2335,.264,.94029999,52.339,-.0032575,2749.9976,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.91851968,.22820318,1,0,0,0,.9984019683841937,.0012028757827752,.0004945750336975,1.29158973065e-06
394,1000,565.45294,526.73004,0,.2335,.264,.94029999,52.339,-.0032825,1249.9979,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.91851968,-.70703024,1,0,0,0,.9983929673309531,.0012095949957619,.0004958033977377,1.29536492519e-06
395,1000,565.45294,526.73004,0,.2335,.264,.94029999,27.795,-.0033249999,2124.9985,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.9001112,-.1614769,1,0,0,0,.9983919343301012,.0012104110604589,.0004959484749616,1.29586297845e-06
396,1000,565.45294,526.73004,0,.2335,.264,.94029999,27.795,-.0033525,1375.0046,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.9001112,-.62908989,1,0,0,0,.9983849790860716,.0012156388945894,.0004968828080643,1.29879192389e-06
397,1000,565.45294,526.73004,0,.2335,.264,.94029999,27.795,-.00339,1874.9967,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.9001112,-.3173503,1,0,0,0,.9983898882861767,.0012119360641033,.0004962174421197,1.29672364451e-06
398,1000,565.45294,526.73004,0,.2335,.264,.94029999,27.795,-.0034324999,2124.9985,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.9001112,-.1614769,1,0,0,0,.9983919343301012,.0012104110604589,.0004959484749616,1.29586297845e-06
399,1000,565.45294,526.73004,0,.2335,.264,.94029999,-34.981,-.0034675,1750.0017,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.85302788,-.39528331,1,0,0,0,.9983078547213533,.0012752043274097,.0005079135550532,1.33154211161e-06
