time_s,cpu_t_degC,motor_command,active_power_W,current_mA,arduino_timestamp_ms,tacho_rpm,imu_x_g,imu_y_g,imu_z_g,WeightOnBit,DrillZ1Position_m,
1615154166.7243092,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352.111111111124,1.25e-05,
1615154166.7515008,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352.111111111124,1.25e-05,
1615154166.7972467,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352.111111111124,1.25e-05,
1615154166.833405,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3165.111111111124,1.25e-05,
1615154166.8577807,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3165.111111111124,1.25e-05,
1615154166.892304,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3165.111111111124,1.25e-05,
1615154166.9248254,29.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2862.111111111124,1.25e-05,
1615154166.956999,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2862.111111111124,1.25e-05,
1615154166.9862776,29.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2862.111111111124,1.25e-05,
1615154167.008568,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2862.111111111124,1.25e-05,
1615154167.0595481,27.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2308.111111111124,1.25e-05,
1615154167.0816145,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2308.111111111124,1.25e-05,
1615154167.1193187,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2308.111111111124,1.25e-05,
1615154167.1546733,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560.111111111124,1.25e-05,
1615154167.1765673,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560.111111111124,1.25e-05,
1615154167.1988301,27.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560.111111111124,1.25e-05,
1615154167.252534,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2437.111111111124,1.25e-05,
1615154167.3058667,27.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2437.111111111124,1.25e-05,
1615154167.3298538,29.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2757.111111111124,1.25e-05,
1615154167.3591988,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2757.111111111124,1.25e-05,
1615154167.3786488,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2757.111111111124,1.25e-05,
1615154167.4111629,29.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2757.111111111124,1.25e-05,
1615154167.451693,29.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1640.111111111124,1.25e-05,
1615154167.4758494,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1640.111111111124,1.25e-05,
1615154167.5121422,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2698.111111111124,1.25e-05,
1615154167.559352,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2698.111111111124,1.25e-05,
1615154167.6083872,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2698.111111111124,1.25e-05,
1615154167.6409426,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632.111111111124,1.25e-05,
1615154167.665333,27.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632.111111111124,1.25e-05,
1615154167.7028089,29.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632.111111111124,1.25e-05,
1615154167.7354434,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1938.111111111124,1.25e-05,
1615154167.756421,29.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1938.111111111124,1.25e-05,
1615154167.7789338,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1938.111111111124,1.25e-05,
1615154167.806246,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1938.111111111124,1.25e-05,
1615154167.8444047,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1717.111111111124,1.25e-05,
1615154167.8683863,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1717.111111111124,1.25e-05,
