time_s,cpu_t_degC,motor_command,active_power_W,current_mA,arduino_timestamp_ms,tacho_rpm,imu_x_g,imu_y_g,imu_z_g,WeightOnBit,DrillZ1Position_m,Formation,ROP,formation_change
1615155460.0,29.254700000000003,1.0,535.0856934000001,4898.508300999999,9799.95,0.0,0.2346200000000001,0.26584499999999994,0.9400999999999998,-504651.8,-0.06602875,2.0,-0.0018327274316204528,0.0
1615155460.8,29.473850000000006,1.0,532.6041260000001,4899.645019999998,9844.8,0.0,0.2342200000000001,0.26515999999999995,0.9400399999999998,-558530.0,-0.06701225,2.0,-0.0012293750732764624,0.0
1615155461.1,29.23035000000001,1.0,533.1401763950001,4902.836108599999,9900.0,0.0,0.2355,0.2661999999999999,0.9398,-488956.4,-0.06800387499999999,2.0,-0.003305417192048567,0.0
1615155462.0,29.3521,1.0,534.3352813499998,4905.617187500001,9965.55,0.0,0.23141499999999998,0.26544,0.9409400000000001,-532521.3,-0.069122875,2.0,-0.0012433332015850164,0.0
1615155462.65,29.206,1.0,535.9550780999999,4902.259766000001,10017.3,0.0,-0.26412,0.24621999999999994,0.5399000000000002,-579571.95,-0.07017587499999998,2.0,-0.0016199997623150275,0.0
1615155463.05,29.3521,1.0,532.89626466,4897.843700900001,10073.0,253.26000000000005,0.2169,0.1076999999999999,0.93475,-561450.55,-0.07124050000000001,2.0,-0.002661563451849333,0.0
1615155464.0,29.546900000000004,1.0,531.4572875800001,4913.084277000001,10115.3,530.0210000000003,0.8122199999999997,-0.04184,1.3735700000000002,-556869.7,-0.07227787499999999,2.0,-0.0010919736294006516,0.0
1615155464.35,29.668649999999996,1.0,530.3922118849998,4923.77048305,10181.0,741.5300000000002,-0.06959999999999997,-0.21499999999999994,0.2222,-570111.75,-0.073274875,2.0,-0.002848572204745791,0.0
1615155465.0,29.59559999999999,1.0,528.633654815,4922.049267199998,10247.6,810.7039999999998,0.4578000000000001,0.5726799999999999,1.0457,-583746.75,-0.07435675,2.0,-0.001664422832720408,0.0
1615155465.9,29.644300000000005,1.0,531.0026245000001,4867.9521479999985,10301.8,852.918,0.17528000000000002,0.5622449999999998,1.1192600000000001,-570244.85,-0.075466,3.0,-0.001232499869399621,1.0
1615155466.35,29.57125000000001,1.0,529.1334381250001,4893.582153000001,10355.8,884.1780000000001,-0.08208000000000001,0.5112599999999998,0.75056,-589206.95,-0.07656975,3.0,-0.002452778817400962,0.0
1615155467.0,29.717349999999993,1.0,529.54631958,4902.125488000001,10399.0,903.1800000000001,-0.19260000000000005,0.5138999999999998,0.21200000000000005,-595889.6,-0.07756312499999998,3.0,-0.001528269006542903,0.0
1615155467.8,29.644299999999998,1.0,530.9864318449999,4902.7703122,10399.0,903.1800000000001,-0.19260000000000005,0.5138999999999998,0.21200000000000005,-978229.15,-0.0786955,3.0,-0.0014154688343685406,0.0
1615155468.25,29.595599999999997,1.0,528.2449951,4906.4243160000005,10399.0,903.1800000000001,-0.19260000000000005,0.5138999999999998,0.21200000000000005,-973338.95,-0.07979862500000001,3.0,-0.002451388629130426,0.0
1615155469.0,29.814749999999997,1.0,533.68403018,4933.829761000002,43150.75,1018.3575000000001,-0.4736999999999999,0.42307500000000003,0.8138,-1178711.75,-0.08087,3.0,-0.0014284999999999808,0.0
1615155469.6,29.5956,1.0,541.9251709000002,5014.217285500001,54115.45,1064.6409999999996,-0.33353000000000016,0.4133400000000001,1.2283799999999996,-1527078.85,-0.08186912500000001,3.0,-0.0016652085980111409,0.0
1615155470.0,29.473850000000006,1.0,549.2064819,5089.768555000001,54159.5,1070.725,-0.22222499999999998,0.4515500000000001,1.2055999999999996,-1686233.5,-0.0828035,3.0,-0.0023359369430692016,0.0
1615155470.9,29.960849999999994,1.0,589.0743011249999,5493.325586250001,54215.0,1076.2299999999998,-0.2660999999999999,0.533,0.7916000000000003,-1589962.85,-0.083786,3.0,-0.0010916665509895134,0.0
1615155471.3,29.8878,1.0,604.97556153,5672.2992188,54285.3,1061.1154999999999,-0.4891599999999999,0.44740499999999994,0.83682,-1212132.25,-0.084847875,3.0,-0.0026546884493905817,0.0
